Country,Lower Longitude,Lower Latitude,Upper Longitude,Upper Latitude,Area,GDP,Population,GDP per Capita
Bangladesh,88.603291,21.27977,92.360616,25.958655,147570,195078573252.202,156594000,1245.7602031508359
Belgium,2.591366,49.518451,5.881771,51.409845,30528,462335574841.484,11250000,41096.49554146524
Bulgaria,22.526683,41.706377,28.58015,43.97763,110879,50811995688.6771,7177000,7079.837771865278
Cote d'Ivoire,-8.188876,4.07354,-2.76163,10.283523,322463,45815005170.815,23596000,1941.642870436303
Dominican Republic,-71.819748,17.335577,-68.139328,20.118498,48670,71164826836.5281,10648000,6683.398463235171
Honduras,-88.829705,13.149949,-84.468132,15.803736,112492,20979791685.416,8866000,2366.3198381926463
Lithuania,20.992015,54.036643,26.441234,56.331606,65300,41435533340.3883,2904000,14268.43434586374
MCR,-73.562517,41.202323,-69.739275,42.725733,44864,814729900000.0,11443000,71198.97754085467
Madagascar,42.277228,-26.599085,50.846564,-11.749862,587041,11323020701.3017,24852000,455.618087127865
North Macedonia,20.417472,40.826445,22.922355,42.269341,25713,10064519962.5655,2077000,4845.700511586663
Paraguay,-58.996582,-27.547242,-54.140625,-21.88189,406752,36211447840.0971,6725000,5384.601909308119
Portugal,-9.681338,36.956027,-7.121523,41.924341,92090,199394066525.44,10324000,19313.64456852383
Qatar,50.744566,24.468571,51.683897,26.186418,11586,161739955576.923,2569000,62958.33226038264
Rep. Korea,126.138262,33.251671,129.598956,38.250373,100210,1466038936206.43,50219000,29192.913761851687
Romania,21.58084,43.623455,27.930938,48.029706,238391,177883883008.747,1986000,89568.92397217876
Rwanda,29.245482,-2.644927,30.778075,-1.371322,26338,8544621756.79813,11668000,732.3124577303848
Sri Lanka,79.356712,5.711267,82.575706,9.99823,65610,85140955388.8509,20777000,4097.846435426236
Switzerland,6.001371,46.06968,9.495023,47.658241,41285,694118186379.628,8324000,83387.57645118069
Taiwan,119.479839,21.723849,122.512065,25.398687,36193,534515000000.0,23503000,22742.415861804875
Togo,0.571289,5.961451,1.625977,10.072778,56785,5755457836.01866,7473000,770.1669792611615
Turkey,26.443722,36.989019,43.736202,41.889664,783356,864313810469.009,78665000,10987.272744791318
Uruguay,-58.013292,-35.003047,-53.388047,-30.855125,176215,57680327998.6689,3431000,16811.52083901746
Yemen,43.031428,12.708373,52.963068,17.207415,527968,42444489460.8016,26497000,1601.8601902404648
Zimbabwe,27.713848,-21.867562,32.987286,-16.199849,390757,19963120600.0,14229000,1402.9883055731252
